                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1263,                 3.7555,                 1.2927,                 0.0048,                0.77677,                0.33261,                0.26265,                0.65197,                 3.3362,                0.99014,             0.00021671,             0.00021671,             0.00021671
                      2,                0.89385,                 2.1104,                 1.1122,                0.00636,                0.84141,                0.49215,                0.36863,                0.78926,                 3.2987,                 1.0991,             0.00044563,             0.00044563,             0.00044563
                      3,                 0.9404,                 1.9818,                 1.1403,                0.84847,                0.29816,                0.53574,                0.38578,                0.85575,                 3.0181,                 1.2183,             0.00066994,             0.00066994,             0.00066994
                      4,                0.96285,                 1.8215,                 1.1236,                0.81696,                0.35005,                0.50831,                  0.375,                 0.9284,                 2.6372,                  1.226,             0.00088962,             0.00088962,             0.00088962
                      5,                 1.0191,                 1.7272,                 1.1674,                0.66683,                0.46535,                0.53826,                0.41019,                0.97933,                 2.7284,                 1.2387,              0.0011047,              0.0011047,              0.0011047
                      6,                0.98443,                 1.5953,                 1.1262,                0.48034,                0.51518,                0.46522,                0.31873,                 1.1172,                  2.752,                 1.3072,              0.0013151,              0.0013151,              0.0013151
                      7,                  1.024,                 1.7505,                 1.1568,                0.59936,                0.57172,                0.54258,                0.38588,                 1.0387,                  2.675,                 1.2496,              0.0015209,              0.0015209,              0.0015209
                      8,                 1.0711,                 1.5853,                 1.2171,                0.52113,                0.56606,                0.56812,                0.41211,                 1.1329,                 2.5023,                 1.2861,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0643,                 1.5695,                  1.171,                0.53983,                0.51883,                0.55843,                 0.3875,                 1.1078,                 2.3743,                 1.3177,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0411,                 1.4822,                 1.1475,                0.81952,                0.57677,                0.63973,                0.46494,                 1.0491,                  2.186,                 1.2813,               0.001535,               0.001535,               0.001535
                     11,                 1.0717,                 1.5225,                 1.1925,                0.69229,                0.66364,                0.72062,                0.51797,                 1.0437,                 1.9852,                 1.2151,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.0217,                 1.4735,                 1.1824,                0.81636,                0.55758,                0.70799,                0.51565,                0.91872,                 2.2888,                 1.1733,               0.001502,               0.001502,               0.001502
                     13,                 1.0039,                 1.3556,                 1.1748,                0.84298,                0.66061,                0.75328,                 0.5618,                0.94272,                 1.7612,                 1.1755,              0.0014855,              0.0014855,              0.0014855
